collection_size,value_range,sub_sum,subset_count,dp_time,brutal_time
1,4,0,1,1.430511474609375e-05,5.245208740234375e-06
2,8,4,1,1.9073486328125e-05,1.7404556274414062e-05
3,12,2,1,1.8596649169921875e-05,9.059906005859375e-06
4,16,22,0,4.291534423828125e-05,2.002716064453125e-05
5,20,26,2,5.3882598876953125e-05,2.4557113647460938e-05
6,24,49,2,0.00019216537475585938,7.748603820800781e-05
7,28,17,2,2.765655517578125e-05,1.5020370483398438e-05
8,32,124,0,0.0005240440368652344,0.00032210350036621094
9,36,80,5,0.0005707740783691406,0.000446319580078125
10,40,104,10,0.0008013248443603516,0.0010137557983398438
11,44,149,16,0.0013115406036376953,0.0013866424560546875
12,48,222,5,0.002225637435913086,0.0050449371337890625
13,52,327,0,0.002351999282836914,0.010419368743896484
14,56,268,57,0.003693103790283203,0.01803731918334961
15,60,3,1,3.075599670410156e-05,2.3603439331054688e-05
16,64,359,268,0.005453348159790039,0.06535887718200684
17,68,440,305,0.00786137580871582,0.1426537036895752
18,72,585,45,0.011172294616699219,0.327728271484375
19,76,320,2196,0.007340431213378906,0.3099198341369629
20,80,582,371,0.013744354248046875,1.3277626037597656
21,84,212,3404,0.006581783294677734,0.24648785591125488
22,88,551,8476,0.015028715133666992,4.493847370147705
23,92,596,22819,0.01909351348876953,4.996496677398682
24,96,607,41938,0.018770933151245117,13.305381298065186
25,100,42,7,0.0005156993865966797,0.0003287792205810547
26,104,867,16073,0.030214548110961914,77.88182711601257
27,108,991,33113,0.032120704650878906,157.18089127540588
28,112,602,573663,0.024348974227905273,112.5045485496521
29,116,1475,1700,0.048969268798828125,640.4635832309723
30,120,549,1027022,0.02393484115600586,168.48766803741455
31,124,529,547340,0.02509617805480957,67.60731840133667
32,128,1141,3646704,0.051442623138427734,4778.808286190033
