,cores,l1d_size,l1d_assoc,l2_size,l2_assoc,sim_name,sim_ticks
0,16,4,16,128,16,cholesky,1.46744E+11
1475,8,8,8,256,16,fft,1082242500
2,16,4,16,128,16,fmm,14231465000
3,16,4,16,128,16,lu,57291781250
4,16,4,16,128,16,ocean,21269052500
5,16,4,16,128,16,radix,10595505000
6,16,4,16,128,16,raytrace,603410000
7,16,4,16,128,2,cholesky,1.23081E+11
1482,8,8,8,256,2,fft,1082242500
9,16,4,16,128,2,fmm,14264811250
10,16,4,16,128,2,lu,58218335000
11,16,4,16,128,2,ocean,21257500000
12,16,4,16,128,2,radix,10614551250
13,16,4,16,128,2,raytrace,603410000
14,16,4,16,128,32,cholesky,1.47025E+11
1489,8,8,8,256,32,fft,1082242500
16,16,4,16,128,32,fmm,14240523750
17,16,4,16,128,32,lu,57888183750
18,16,4,16,128,32,ocean,21247737500
19,16,4,16,128,32,radix,10592710000
20,16,4,16,128,32,raytrace,603410000
21,16,4,16,128,4,cholesky,1.30416E+11
1496,8,8,8,256,4,fft,1082242500
23,16,4,16,128,4,lu,58445872500
24,16,4,16,128,4,ocean,21447218750
25,16,4,16,128,4,radix,10602865000
26,16,4,16,128,4,raytrace,603410000
27,16,4,16,128,8,cholesky,1.39649E+11
1503,8,8,8,256,8,fft,1082242500
29,16,4,16,128,8,fmm,14234631250
30,16,4,16,128,8,lu,58714898750
31,16,4,16,128,8,ocean,21474636250
32,16,4,16,128,8,radix,10596155000
33,16,4,16,128,8,raytrace,603410000
34,16,4,2,128,16,cholesky,1.40665E+11
35,16,4,2,128,16,fmm,15751248051
36,16,4,2,128,16,lu,44795156703
37,16,4,2,128,16,ocean,22762811269
38,16,4,2,128,16,radix,9662330337
39,16,4,2,128,16,raytrace,589574370
40,16,4,2,128,2,cholesky,1.16961E+11
41,16,4,2,128,2,fmm,15639089268
42,16,4,2,128,2,lu,45958769219
43,16,4,2,128,2,ocean,22447077290
44,16,4,2,128,2,radix,9677232180
45,16,4,2,128,2,raytrace,589574370
46,16,4,2,128,32,cholesky,1.40972E+11
47,16,4,2,128,32,fmm,15748674975
48,16,4,2,128,32,lu,45402817042
49,16,4,2,128,32,ocean,22767044179
50,16,4,2,128,32,radix,9661899269
51,16,4,2,128,32,raytrace,589574370
52,16,4,2,128,4,cholesky,1.24436E+11
1440,8,8,4,256,16,fft,1093236250
54,16,4,2,128,4,fmm,15732697684
55,16,4,2,128,4,lu,46030196520
56,16,4,2,128,4,ocean,22468084078
57,16,4,2,128,4,radix,9669489621
58,16,4,2,128,4,raytrace,589574370
59,16,4,2,128,8,cholesky,1.3371E+11
60,16,4,2,128,8,fmm,15743094422
61,16,4,2,128,8,lu,46155791737
62,16,4,2,128,8,ocean,22511067557
63,16,4,2,128,8,radix,9663662426
64,16,4,2,128,8,raytrace,589574370
65,16,4,32,128,16,cholesky,1.46172E+11
1447,8,8,4,256,2,fft,1093236250
67,16,4,32,128,16,fmm,13949806250
68,16,4,32,128,16,lu,63336157500
69,16,4,32,128,16,ocean,21343943750
70,16,4,32,128,16,radix,10594930000
71,16,4,32,128,16,raytrace,603115000
72,16,4,32,128,2,cholesky,1.22566E+11
1454,8,8,4,256,32,fft,1093236250
74,16,4,32,128,2,fmm,14010772500
75,16,4,32,128,2,lu,64098371250
76,16,4,32,128,2,ocean,21352338750
77,16,4,32,128,2,radix,10614856250
78,16,4,32,128,2,raytrace,603115000
79,16,4,32,128,32,cholesky,1.46487E+11
1461,8,8,4,256,4,fft,1093236250
81,16,4,32,128,32,fmm,13941758750
82,16,4,32,128,32,lu,63939950000
83,16,4,32,128,32,ocean,21337663750
84,16,4,32,128,32,radix,10593097500
85,16,4,32,128,32,raytrace,603115000
86,16,4,32,128,4,cholesky,1.29898E+11
1468,8,8,4,256,8,fft,1093236250
88,16,4,32,128,4,fmm,13965403750
89,16,4,32,128,4,lu,64351101250
90,16,4,32,128,4,ocean,21541678750
91,16,4,32,128,4,radix,10601617500
92,16,4,32,128,4,raytrace,603115000
93,16,4,32,128,8,cholesky,1.39135E+11
1375,8,8,2,256,16,fft,1094153750
95,16,4,32,128,8,fmm,13956318750
96,16,4,32,128,8,lu,64594407500
97,16,4,32,128,8,ocean,21577748750
98,16,4,32,128,8,radix,10593450000
99,16,4,32,128,8,raytrace,603115000
100,16,4,4,128,16,cholesky,1.39513E+11
1382,8,8,2,256,2,fft,1094153750
102,16,4,4,128,16,fmm,14008917857
103,16,4,4,128,16,lu,45111715044
104,16,4,4,128,16,ocean,20186653355
105,16,4,4,128,16,radix,9519306863
106,16,4,4,128,16,raytrace,586298031
107,16,4,4,128,2,cholesky,1.15901E+11
1389,8,8,2,256,32,fft,1094153750
109,16,4,4,128,2,fmm,13976736631
110,16,4,4,128,2,lu,46221441838
111,16,4,4,128,2,ocean,19964416692
112,16,4,4,128,2,radix,9539959242
113,16,4,4,128,2,raytrace,586298031
114,16,4,4,128,32,cholesky,1.39809E+11
1396,8,8,2,256,4,fft,1094153750
116,16,4,4,128,32,fmm,14012891904
117,16,4,4,128,32,lu,45723932705
118,16,4,4,128,32,ocean,20179496293
119,16,4,4,128,32,radix,9518661372
120,16,4,4,128,32,raytrace,586298031
121,16,4,4,128,4,cholesky,1.23202E+11
1403,8,8,2,256,8,fft,1094153750
123,16,4,4,128,4,fmm,14007142479
124,16,4,4,128,4,lu,46312793813
125,16,4,4,128,4,ocean,20132780965
126,16,4,4,128,4,radix,9532174465
127,16,4,4,128,4,raytrace,586298031
128,16,4,4,128,8,cholesky,1.3258E+11
572,2,64,32,512,16,fft,1110915472
130,16,4,4,128,8,fmm,13994179331
131,16,4,4,128,8,lu,46474895379
132,16,4,4,128,8,ocean,20175612237
133,16,4,4,128,8,radix,9519663494
134,16,4,4,128,8,raytrace,586298031
135,16,4,8,128,16,cholesky,1.46756E+11
586,2,64,32,512,32,fft,1110915472
137,16,4,8,128,16,fmm,14641428750
138,16,4,8,128,16,lu,51899641250
139,16,4,8,128,16,ocean,21340606250
140,16,4,8,128,16,radix,10592891250
141,16,4,8,128,16,raytrace,603903750
142,16,4,8,128,2,cholesky,1.2308E+11
593,2,64,32,512,4,fft,1110915472
144,16,4,8,128,2,fmm,14652276250
145,16,4,8,128,2,lu,52877152500
146,16,4,8,128,2,ocean,21312606250
147,16,4,8,128,2,radix,10611870000
148,16,4,8,128,2,raytrace,603903750
149,16,4,8,128,32,cholesky,1.47082E+11
600,2,64,32,512,8,fft,1110915472
151,16,4,8,128,32,fmm,14645398750
152,16,4,8,128,32,lu,52505245000
153,16,4,8,128,32,ocean,21295695000
154,16,4,8,128,32,radix,10591295000
155,16,4,8,128,32,raytrace,603903750
156,16,4,8,128,4,cholesky,1.30491E+11
502,2,64,16,512,16,fft,1110945478
158,16,4,8,128,4,fmm,14630768750
159,16,4,8,128,4,lu,53014007500
160,16,4,8,128,4,ocean,21501123750
161,16,4,8,128,4,radix,10601385000
162,16,4,8,128,4,raytrace,603903750
163,16,4,8,128,8,cholesky,1.39559E+11
516,2,64,16,512,32,fft,1110945478
165,16,4,8,128,8,fmm,14626985000
166,16,4,8,128,8,lu,53218958750
167,16,4,8,128,8,ocean,21527235000
168,16,4,8,128,8,radix,10591490000
169,16,4,8,128,8,raytrace,603903750
170,16,8,16,64,16,cholesky,1.5432E+11
523,2,64,16,512,4,fft,1110945478
172,16,8,16,64,16,fmm,13886430394
173,16,8,16,64,16,lu,59868780962
174,16,8,16,64,16,ocean,22059987440
175,16,8,16,64,16,radix,11122117063
176,16,8,16,64,16,raytrace,615748955
177,16,8,16,64,2,cholesky,1.48274E+11
530,2,64,16,512,8,fft,1110945478
179,16,8,16,64,2,fmm,13938074454
180,16,8,16,64,2,lu,60125193577
181,16,8,16,64,2,ocean,22939035361
182,16,8,16,64,2,radix,11083328287
183,16,8,16,64,2,raytrace,615748955
184,16,8,16,64,32,cholesky,1.53915E+11
607,2,64,4,512,16,fft,1111058834
186,16,8,16,64,32,fmm,13868645060
187,16,8,16,64,32,lu,59866191614
188,16,8,16,64,32,ocean,22022902032
189,16,8,16,64,32,radix,11059399682
190,16,8,16,64,32,raytrace,615748955
191,16,8,16,64,4,cholesky,1.49256E+11
621,2,64,4,512,32,fft,1111058834
193,16,8,16,64,4,fmm,13884294039
194,16,8,16,64,4,lu,60095787615
195,16,8,16,64,4,ocean,22964338664
196,16,8,16,64,4,radix,11068225186
197,16,8,16,64,4,raytrace,615748955
198,16,8,16,64,8,cholesky,1.52197E+11
199,16,8,16,64,8,fmm,13894184148
200,16,8,16,64,8,lu,59859109490
201,16,8,16,64,8,ocean,22218695038
202,16,8,16,64,8,radix,11084600097
203,16,8,16,64,8,raytrace,615748955
204,16,8,2,64,16,cholesky,1.42013E+11
628,2,64,4,512,4,fft,1111058834
206,16,8,2,64,16,fmm,12751303750
207,16,8,2,64,16,lu,54735332500
208,16,8,2,64,16,ocean,20823031250
209,16,8,2,64,16,radix,10006181250
210,16,8,2,64,16,raytrace,594160000
211,16,8,2,64,2,fmm,12737632500
212,16,8,2,64,32,cholesky,1.4318E+11
635,2,64,4,512,8,fft,1111058834
214,16,8,2,64,32,fmm,12800286250
215,16,8,2,64,32,lu,54956217500
216,16,8,2,64,32,ocean,20811838750
217,16,8,2,64,32,radix,9963685000
218,16,8,2,64,32,raytrace,600661250
219,16,8,2,64,4,fmm,12748758750
220,16,8,2,64,8,fmm,12738718750
221,16,8,2,64,8,lu,54716287500
222,16,8,2,64,8,radix,9976272500
223,16,8,32,64,16,cholesky,1.54329E+11
642,2,64,8,512,16,fft,1111293881
225,16,8,32,64,16,fmm,13926368086
226,16,8,32,64,16,lu,59866351662
227,16,8,32,64,16,ocean,22109522296
228,16,8,32,64,16,radix,11132671657
229,16,8,32,64,16,raytrace,615644638
230,16,8,32,64,2,cholesky,1.48279E+11
656,2,64,8,512,32,fft,1111293881
232,16,8,32,64,2,fmm,13981336000
233,16,8,32,64,2,lu,60142584507
234,16,8,32,64,2,ocean,22972118140
235,16,8,32,64,2,radix,11082758116
236,16,8,32,64,2,raytrace,615644638
237,16,8,32,64,32,cholesky,1.54006E+11
663,2,64,8,512,4,fft,1111293881
239,16,8,32,64,32,fmm,13905158868
240,16,8,32,64,32,lu,59884818629
241,16,8,32,64,32,ocean,22061656512
242,16,8,32,64,32,radix,11062423446
243,16,8,32,64,32,raytrace,615644638
244,16,8,32,64,4,cholesky,1.49416E+11
670,2,64,8,512,8,fft,1111293881
246,16,8,32,64,4,fmm,13921719549
247,16,8,32,64,4,lu,60112819866
248,16,8,32,64,4,ocean,23015732649
249,16,8,32,64,4,radix,11069251208
250,16,8,32,64,4,raytrace,615644638
251,16,8,32,64,8,cholesky,1.52156E+11
537,2,64,2,512,16,fft,1111318886
253,16,8,32,64,8,fmm,13922128243
254,16,8,32,64,8,lu,59893286883
255,16,8,32,64,8,ocean,22254814442
256,16,8,32,64,8,radix,11088556998
257,16,8,32,64,8,raytrace,615644638
258,16,8,4,64,16,cholesky,1.44289E+11
551,2,64,2,512,32,fft,1111318886
260,16,8,4,64,16,fmm,12217470000
261,16,8,4,64,16,lu,54474946250
262,16,8,4,64,16,ocean,20769298750
263,16,8,4,64,16,radix,9896538750
264,16,8,4,64,16,raytrace,592862500
265,16,8,4,64,2,cholesky,1.38864E+11
558,2,64,2,512,4,fft,1111318886
267,16,8,4,64,2,fmm,12295760000
268,16,8,4,64,2,lu,54767490000
269,16,8,4,64,2,ocean,21534935000
270,16,8,4,64,2,radix,9862388750
271,16,8,4,64,2,raytrace,592862500
272,16,8,4,64,32,cholesky,1.44156E+11
565,2,64,2,512,8,fft,1111318886
274,16,8,4,64,32,fmm,12203521250
275,16,8,4,64,32,lu,54487205000
276,16,8,4,64,32,ocean,20706956250
277,16,8,4,64,32,radix,9827535000
278,16,8,4,64,32,raytrace,592862500
279,16,8,4,64,4,cholesky,1.39623E+11
280,16,8,4,64,4,fmm,12237292500
281,16,8,4,64,4,lu,54715520000
282,16,8,4,64,4,ocean,21563580000
283,16,8,4,64,4,radix,9853483750
284,16,8,4,64,4,raytrace,592862500
285,16,8,4,64,8,cholesky,1.42373E+11
327,2,32,16,1024,16,fft,1111680625
287,16,8,4,64,8,fmm,12231907500
288,16,8,4,64,8,lu,54462555000
289,16,8,4,64,8,ocean,20888448750
290,16,8,4,64,8,radix,9864578750
291,16,8,4,64,8,raytrace,592862500
292,16,8,8,64,16,cholesky,1.45445E+11
334,2,32,16,1024,2,fft,1111680625
294,16,8,8,64,16,fmm,12249173750
295,16,8,8,64,16,lu,54480081250
296,16,8,8,64,16,ocean,20210678750
297,16,8,8,64,16,radix,9902598750
298,16,8,8,64,16,raytrace,592176250
299,16,8,8,64,2,cholesky,1.3983E+11
300,16,8,8,64,2,fmm,12335781250
301,16,8,8,64,2,lu,54780575000
302,16,8,8,64,2,ocean,21198091250
303,16,8,8,64,2,radix,9865021250
304,16,8,8,64,2,raytrace,592176250
305,16,8,8,64,32,cholesky,1.45052E+11
341,2,32,16,1024,32,fft,1111680625
307,16,8,8,64,32,fmm,12245002500
308,16,8,8,64,32,lu,54502230000
309,16,8,8,64,32,ocean,20168190000
310,16,8,8,64,32,radix,9828497500
311,16,8,8,64,32,raytrace,592176250
312,16,8,8,64,4,cholesky,1.40743E+11
348,2,32,16,1024,4,fft,1111680625
314,16,8,8,64,4,fmm,12271020000
315,16,8,8,64,4,lu,54736880000
316,16,8,8,64,4,ocean,21237592500
317,16,8,8,64,4,radix,9850865000
318,16,8,8,64,4,raytrace,592176250
319,16,8,8,64,8,cholesky,1.43335E+11
355,2,32,16,1024,8,fft,1111680625
321,16,8,8,64,8,fmm,12260027500
322,16,8,8,64,8,lu,54492200000
323,16,8,8,64,8,ocean,20393320000
324,16,8,8,64,8,radix,9859756250
325,16,8,8,64,8,raytrace,592176250
326,2,32,16,1024,16,cholesky,2.10532E+11
467,2,32,8,1024,16,fft,1111780645
328,2,32,16,1024,16,fmm,53858666246
329,2,32,16,1024,16,lu,1.05202E+11
330,2,32,16,1024,16,ocean,34939391481
331,2,32,16,1024,16,radix,74926552314
332,2,32,16,1024,16,raytrace,642336775
333,2,32,16,1024,2,cholesky,1.89992E+11
474,2,32,8,1024,2,fft,1111780645
335,2,32,16,1024,2,fmm,53927443332
336,2,32,16,1024,2,lu,1.04584E+11
337,2,32,16,1024,2,ocean,39305264481
338,2,32,16,1024,2,radix,74800642137
339,2,32,16,1024,2,raytrace,642336775
340,2,32,16,1024,32,cholesky,2.10523E+11
481,2,32,8,1024,32,fft,1111780645
342,2,32,16,1024,32,fmm,53858454537
343,2,32,16,1024,32,lu,1.06167E+11
344,2,32,16,1024,32,ocean,34641188519
345,2,32,16,1024,32,radix,74954127828
346,2,32,16,1024,32,raytrace,642336775
347,2,32,16,1024,4,cholesky,1.96854E+11
488,2,32,8,1024,4,fft,1111780645
349,2,32,16,1024,4,fmm,53870125204
350,2,32,16,1024,4,lu,1.04405E+11
351,2,32,16,1024,4,ocean,35181708268
352,2,32,16,1024,4,radix,74825957199
353,2,32,16,1024,4,raytrace,642336775
354,2,32,16,1024,8,cholesky,2.04719E+11
495,2,32,8,1024,8,fft,1111780645
356,2,32,16,1024,8,fmm,53852851750
